TRANSACT_TYPE,OWNTYPE,BEDROOM_NUM,PRICE_PER_UNIT_AREA,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,PRICE,TOTAL_LANDMARK_COUNT,BALCONY_NUM,FLOOR_NUM,CARPET_SQFT,BUILTUP_SQFT,SUPER_SQFT,side,latitude,longitude,society,preference,type,AmenityScore
2.0,1,3.0,3500.0,0,0,5,7.0,3500.0,971-987  sq.ft.,33.99  - 34.54 L,12.0,0.0,1.0,,,,3,22.425598982105,88.402485762542,skyline imperia,2,2,0.0
2.0,1,2.0,3500.0,0,0,5,7.0,3500.0,771-954  sq.ft.,26.99  - 33.39 L,12.0,0.0,1.0,,,,3,22.425598982105,88.402485762542,skyline imperia,2,2,0.0
2.0,1,,1215.0,0,0,0,0.0,1215.0,1440-3600  sq.ft.,17.5  - 43.74 L,3.0,0.0,0.0,,,,1,22.546549674391,88.530730241533,dimitra shantineer,2,3,0.0
2.0,1,4.0,3587.0,0,0,6,0.0,3587.0,2160-2880  sq.ft.,80 L - 1 Cr,3.0,0.0,0.0,,,,1,22.546549674391,88.530730241533,dimitra shantineer,2,0,0.0
2.0,1,3.0,3993.0,0,0,6,0.0,3993.0,1080-1440  sq.ft.,45  - 55 L,3.0,0.0,0.0,,,,1,22.546549674391,88.530730241533,dimitra shantineer,2,0,0.0
2.0,1,5.0,7878.0,0,0,5,13.0,7878.0,3555-3603  sq.ft.,2.8  - 2.84 Cr,13.0,0.0,1.0,,,,1,22.626586,88.453086,bhawani inara,2,2,0.0
2.0,1,4.0,6115.0,0,0,5,13.0,6115.0,2322-2355  sq.ft.,1.43  - 1.43 Cr,13.0,0.0,1.0,,,,1,22.626586,88.453086,bhawani inara,2,2,0.0
2.0,1,3.0,7873.0,0,0,5,13.0,7873.0,1728-1790  sq.ft.,1.36  - 1.41 Cr,13.0,0.0,1.0,,,,1,22.626586,88.453086,bhawani inara,2,2,0.0
2.0,1,3.0,3750.0,0,0,5,20.0,3750.0,924-1029  sq.ft.,34.65  - 38.59 L,,0.0,1.0,,,,3,22.412411,88.397119,green view residency,2,2,0.0
2.0,1,2.0,3750.0,0,0,5,20.0,3750.0,599-832  sq.ft.,22.46  - 31.2 L,,0.0,1.0,,,,3,22.412411,88.397119,green view residency,2,2,0.0
0.0,0,2.0,5.0,1,0,1,1.0,5.0,600 sq.ft.,"3,000/Bed",49.0,0.0,0.0,,600.0,,3,22.527344,88.344062,,0,0,0.0
2.0,1,4.0,4500.0,0,0,5,0.0,4500.0,1800-2200  sq.ft.,72 L - 1.1 Cr,1.0,0.0,0.0,,,,3,22.411118,88.249644,oas lake life township,2,0,0.0
2.0,1,3.0,4109.0,0,0,5,0.0,4109.0,1460 sq.ft.,60 L,1.0,0.0,0.0,,1460.0,,3,22.411118,88.249644,oas lake life township,2,0,0.0
2.0,1,2.0,3714.0,0,0,5,0.0,3714.0,1050 sq.ft.,39 L,1.0,0.0,0.0,,1050.0,,3,22.411118,88.249644,oas lake life township,2,0,0.0
2.0,1,3.0,3550.0,0,0,5,4.0,3550.0,948-951  sq.ft.,33.65  - 33.76 L,10.0,0.0,1.0,,,,3,22.728398287336,88.483555133462,squaremark mohorkoonjo,2,2,0.0
